date,fındık fiyatı
2014-08-22,27
2014-08-23,23
2014-08-24,28
2014-08-25,29
2014-08-26,33
2014-08-27,37
2014-08-28,32
2014-08-29,37
2014-08-30,36
2014-08-31,26
2014-09-01,73
2014-09-02,72
2014-09-03,68
2014-09-04,75
2014-09-05,59
2014-09-06,60
2014-09-07,35
2014-09-08,61
2014-09-09,59
2014-09-10,65
2014-09-11,59
2014-09-12,54
2014-09-13,40
2014-09-14,29
2014-09-15,60
2014-09-16,56
2014-09-17,54
2014-09-18,52
2014-09-19,66
2014-09-20,47
2014-09-21,29
2014-09-22,83
2014-09-23,91
2014-09-24,82
2014-09-25,100
2014-09-26,87
2014-09-27,76
2014-09-28,56
2014-09-29,94
2014-09-30,90
2014-10-01,73
2014-10-02,60
2014-10-03,31
2014-10-04,27
2014-10-05,30
2014-10-06,33
2014-10-07,31
2014-10-08,75
2014-10-09,74
2014-10-10,48
2014-10-11,42
2014-10-12,32
2014-10-13,82
2014-10-14,65
2014-10-15,62
2014-10-16,84
2014-10-17,59
2014-10-18,31
2014-10-19,37
2014-10-20,76
2014-10-21,51
2014-10-22,66
2014-10-23,58
2014-10-24,51
2014-10-25,31
2014-10-26,32
2014-10-27,58
2014-10-28,67
2014-10-29,50
2014-10-30,75
2014-10-31,68
2014-11-01,27
2014-11-02,27
2014-11-03,67
2014-11-04,63
2014-11-05,65
2014-11-06,65
2014-11-07,49
2014-11-08,19
2014-11-09,24
2014-11-10,67
2014-11-11,67
2014-11-12,68
2014-11-13,61
2014-11-14,81
2014-11-15,24
2014-11-16,21
2014-11-17,71
2014-11-18,64
2014-11-19,81
2014-11-20,64
